Ежемесячный платеж	Срок кредитной истории (лет)	Срок с последнего нарушения кредитного договора (мес,)	Количество кредитных карт	Текущий баланс кредитов	Максимальный выданный кредит	Число нарушений кредитных договоров	Кредитный рейтинг	Годовой доход	Размер кредита			Ежемесячный платеж	Срок кредитной истории (лет)	Срок с последнего нарушения кредитного договора (мес,)	Количество кредитных карт	Текущий баланс кредитов	Максимальный выданный кредит	Число нарушений кредитных договоров	Кредитный рейтинг	Годовой доход	Размер кредита
5214,74	17,2		6	228190,00	416746,00	1	709	1 167 493	445412		1 квартиль	10079,6425	13,6	17,5	8	110404,25	265947	0	704	842992	168102
33295,98	21,1	8	35	229976,00	850784,00	0			262328		2 квартиль 	23641,0825	21,9	50	14	352022,5	756701	0	738	1638940	432256
29200,53	14,9	29	18	297996,00	750090,00	1	741	2 231 892			межкварт размах	13561,44	8,3	32,5	6	241618,25	490754	0	34	795948	264154
8741,90	12		9	256329,00	386958,00	0	721	806 949	347666		верх граница	43983,2425	34,35	98,75	23	714449,875	1492832	0	789	2832862	828487
20639,70	6,1		15	253460,00	427174,00	0			176220		нижн граница	-10262,5175	1,15	-31,25	-1	-252023,125	-470184	0	653	-350930	-228129
16367,74	17,3		6	215308,00	272448,00	0	729	896 857	206602		кол-во выбросов	65	52	0	55	92	101		51	83	0
10855,08	19,6	10	13	122170,00	272052,00	1	730	1 184 194	217646												
14806,13	8,2	8	15	193306,00	864204,00	0			648714								Такой разброс обусловлен диапазоном сумм выданных кредитов.				
18660,28	22,6	33	4	437171,00	555038,00	0	678	2 559 110	548746								Можно исправить, удалив все выбросы.				
39277,75	13,9		20	669560,00	1021460,00	0	739	1 454 735	215952												
11851,06	16	76	16	203965,00	289784,00	0	728	714 628													
23568,55	23,2		23	60705,00	1634468,00	0			541970												
11578,22	8,5	25	6	134083,00	220220,00	0	740	776 188													
17560,37	13,3		10	225549,00	496474,00	1	743	1 560 907													
14211,24	24,7	46	10	28291,00	107052,00	1	727	693 234	234124												
18904,81	19,4		8	334533,00	428956,00	0			449020												
14537,09	20,5		9	302309,00	413754,00	0			653004												
17612,24	22	34	15	813694,00	2004618,00	0	723	1 821 967	666204												
9898,81	27,1		23	9728,00	402380,00	1			66396												
2478,55	22,7		6	121182,00	801812,00	0	747	1 791 738	390390												
9632,81	17,4	53	4	60287,00	126940,00	0	687	1 133 274	317108												
13202,15	11,9		7	131936,00	458788,00	0	750	1 354 073	128238												
21900,35	15,7		12	891594,00	1081014,00	0	714	1 890 690	153252												
5860,74	17,5		7	95608,00	230626,00	0	724	850 383	91894												
6812,26	14,4		6	143051,00	245014,00	1	704	1 249 953	244926												
15647,45	22,3	30	7	107559,00	488356,00	0	688	1 722 654	465410												
13817,18	12		6	138339,00	221232,00	0	724	1 029 857													
25186,21	14		15	342475,00	905344,00	0	749	1 432 391	443960												
19247,19	20	32	17	224390,00	295240,00	0	746	1 749 748													
19238,07	43,7		5	28956,00	58014,00	0			107404												
31039,54	18		8	229349,00	469172,00	0	737	1 501 912													
16913,99	20		16	313177,00	539616,00	0	729	1 348 620	334620												
9311,71	15,4		7	130701,00	268818,00	1	733	524 609	130174												
18205,04	14,6		18	300979,00	515526,00	0	725	1 248 338	333564												
15524,90	22,7		9	77121,00	920524,00	0			109318												
20597,33	24,5		13	684817,00	997414,00	0	745	1 261 068	125796												
17046,23	14,1		10	213484,00	478126,00	0	743	752 039													
3404,99	22,6		6	114095,00	170038,00	1	720	796 499	161172												
11792,73	20,6	34	9	401584,00	708818,00	0			259842												
13090,43	28,8	21	14	193990,00	458414,00	0	718	1 454 507	449108												
14697,07	16,6	50	8	343995,00	843854,00	0	682	1 494 616	688468												
13084,54	14	20	10	314336,00	483362,00	0			210166												
15419,45	16,7	24	13	268090,00	529738,00	0			327008												
5777,90	14,8		4	132468,00	164406,00	0	712	537 472	288948												
44601,74	14,5	15	11	213921,00	509652,00	0	680	2 211 657	311762												
12946,79	21,6		9	266266,00	485518,00	0	750	919 296	266112												
18199,15	19,4	6	34	45106,00	163218,00	1	723	1 465 698	129712												
16138,60	18,6	13	11	223117,00	489302,00	0	737	1 013 954	287980												
20923,56	17,8		11	209304,00	265716,00	0	710	1 518 024	439428												
14341,39	14,1		8	161861,00	278058,00	0	598	1 096 167	456808												
22667,38	20,9		11	452770,00	1080926,00	0	719	1 193 010	518012												
14207,63	17	48	9	254277,00	379918,00	0	661	527 839	219692												
20322,78	15,6	69	8	285589,00	402776,00	0			214874												
5163,25	36,6	42	10	126350,00	415602,00	0	652	1 239 199	374176												
34714,90	40,8	35	12	733324,00	1035496,00	0	730	2 509 520													
28372,89	15,4	7	9	206872,00	620554,00	0	736	1 902 090	176198												
10135,36	11,4		8	104633,00	199936,00	0	738	728 726	78012												
34711,29	9,2		17	496052,00	638176,00	0	725	2 158 210	669372												
9761,25	16,1	30	6	110428,00	235488,00	0	747	2 261 304	130922												
30522,74	15	27	7	40489,00	128832,00	0	721	1 620 681	174548												
8230,99	18,3	10	11	176624,00	370480,00	0	644	837 045	290224												
15664,74	12	5	10	252016,00	489610,00	0	672	1 648 915	718784												
19164,54	12,1	26	22	120916,00	946000,00	0			152548												
48278,62	19,6	32	17	5246261,00	11887678,00	0	741	2 896 721	602008												
42500,15	31,5	17	11	25460,00	151140,00	0	747	3 035 725	171248												
22632,99	19,3		5	474658,00	742720,00	0	737	1 028 774	523908												
27997,64	14	72	19	389994,00	743952,00	1	699	2 048 618	323466												
27204,01	20,5	48	19	483968,00	594880,00	0			751520												
9758,40	16		12	439033,00	1735030,00	0			289388												
19750,88	21,8		7	314773,00	1035408,00	0	751	1 060 922	144562												
8923,35	18	65	9	93081,00	397694,00	1	694	947 625	211222												
8560,83	15,1	46	16	129504,00	434654,00	0	720	486 875	162360												
48708,40	25,6	25	13	348802,00	449262,00	0	699	2 770 162													
21378,80	31,4	17	11	247912,00	541596,00	0	675	1 343 167	311058												
53747,96	29,5		13	1426425,00	2510112,00	0	724	6 628 720	767536												
30520,46	13,8		23	113278,00	1561406,00	0			133034												
