<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
Акрон;W;05/01/15;000000;1856;13070
Акрон;W;12/01/15;000000;2061;30901
Акрон;W;19/01/15;000000;2258;62687
Акрон;W;26/01/15;000000;2378;52687
Акрон;W;02/02/15;000000;2306;159429
Акрон;W;09/02/15;000000;2477;166579
Акрон;W;16/02/15;000000;2530;76318
Акрон;W;23/02/15;000000;2435;19637
Акрон;W;02/03/15;000000;2512;85522
Акрон;W;09/03/15;000000;2445;46250
Акрон;W;16/03/15;000000;2300;191669
Акрон;W;23/03/15;000000;2193;56583
Акрон;W;30/03/15;000000;2325;19192
Акрон;W;06/04/15;000000;2250;46829
Акрон;W;13/04/15;000000;2145;94395
Акрон;W;20/04/15;000000;2225;158297
Акрон;W;27/04/15;000000;2262;21948
Акрон;W;04/05/15;000000;2336;17728
Акрон;W;11/05/15;000000;2257;18297
Акрон;W;18/05/15;000000;2262;12193
Акрон;W;25/05/15;000000;2216;52886
Акрон;W;01/06/15;000000;2262;40656
Акрон;W;08/06/15;000000;2150;16279
Акрон;W;15/06/15;000000;2220;27323
Акрон;W;22/06/15;000000;2270;21340
Акрон;W;29/06/15;000000;2280;18744
Акрон;W;06/07/15;000000;2359;28285
Акрон;W;13/07/15;000000;2589;42213
Акрон;W;20/07/15;000000;2583;24749
Акрон;W;27/07/15;000000;2556;33331
Акрон;W;03/08/15;000000;2591;45907
Акрон;W;10/08/15;000000;2776;53119
Акрон;W;17/08/15;000000;2852;26536
Акрон;W;24/08/15;000000;2700;44522
Акрон;W;31/08/15;000000;2830;26371
Акрон;W;07/09/15;000000;2950;18788
Акрон;W;14/09/15;000000;3000;19986
Акрон;W;21/09/15;000000;2960;10874
Акрон;W;28/09/15;000000;2998;48156
Акрон;W;05/10/15;000000;2888;17922
Акрон;W;12/10/15;000000;2952;42474
Акрон;W;19/10/15;000000;2982;11233
Акрон;W;26/10/15;000000;3100;15815
Акрон;W;02/11/15;000000;2980;22076
Акрон;W;09/11/15;000000;2971;32065
Акрон;W;16/11/15;000000;3084;25263
Акрон;W;23/11/15;000000;3360;25325
Акрон;W;30/11/15;000000;3399;15209
Акрон;W;07/12/15;000000;3399;19093
Акрон;W;14/12/15;000000;3593;21497
Акрон;W;21/12/15;000000;3737;20151
Акрон;W;28/12/15;000000;3779;6290
Акрон;W;04/01/16;000000;3930;26633
Акрон;W;11/01/16;000000;3440;46434
Акрон;W;18/01/16;000000;3815;32272
Акрон;W;25/01/16;000000;3571;41224
Акрон;W;01/02/16;000000;3650;22032
Акрон;W;08/02/16;000000;3490;43975
Акрон;W;15/02/16;000000;3600;44535
Акрон;W;22/02/16;000000;3600;38842
Акрон;W;29/02/16;000000;3725;32775
Акрон;W;07/03/16;000000;3770;17497
Акрон;W;14/03/16;000000;3800;22813
Акрон;W;21/03/16;000000;3775;19008
Акрон;W;28/03/16;000000;3575;28397
Акрон;W;04/04/16;000000;3555;98426
Акрон;W;11/04/16;000000;3600;46489
Акрон;W;18/04/16;000000;3725;17282
Акрон;W;25/04/16;000000;3550;18488
Акрон;W;02/05/16;000000;3535;8161
Акрон;W;09/05/16;000000;3530;4463
Акрон;W;16/05/16;000000;3545;13581
Акрон;W;23/05/16;000000;3675;9565
Акрон;W;30/05/16;000000;3755;16273
Акрон;W;06/06/16;000000;3610;36250
Акрон;W;13/06/16;000000;3565;16435
Акрон;W;20/06/16;000000;3420;12803
Акрон;W;27/06/16;000000;3430;15143
Акрон;W;04/07/16;000000;3470;5238
Акрон;W;11/07/16;000000;3440;7596
Акрон;W;18/07/16;000000;3400;6003
Акрон;W;25/07/16;000000;3420;11635
Акрон;W;01/08/16;000000;3600;37895
Акрон;W;08/08/16;000000;3510;22088
Акрон;W;15/08/16;000000;3550;18858
Акрон;W;22/08/16;000000;3715;8218
Акрон;W;29/08/16;000000;3675;21805
Акрон;W;05/09/16;000000;3675;5059
Акрон;W;12/09/16;000000;3770;31500
Акрон;W;19/09/16;000000;3400;16405
Акрон;W;26/09/16;000000;3375;19365
Акрон;W;03/10/16;000000;3265;21386
Акрон;W;10/10/16;000000;3260;10720
Акрон;W;17/10/16;000000;3090;62224
Акрон;W;24/10/16;000000;3010;26876
Акрон;W;31/10/16;000000;3045;30943
Акрон;W;07/11/16;000000;3150;28455
Акрон;W;14/11/16;000000;3320;26507
Акрон;W;21/11/16;000000;3345;20440
Акрон;W;28/11/16;000000;3525;21712
Акрон;W;05/12/16;000000;3605;31283
Акрон;W;12/12/16;000000;3575;34148
Акрон;W;19/12/16;000000;3595;26537
Акрон;W;26/12/16;000000;3575;23102
Акрон;W;02/01/17;000000;3395;12022
Акрон;W;09/01/17;000000;3500;15454
Акрон;W;16/01/17;000000;3460;11419
Акрон;W;23/01/17;000000;3505;20424
Акрон;W;30/01/17;000000;3484;14592
Акрон;W;06/02/17;000000;3452;11855
